track_id,track,album,release_year,artists,popularity,genre,year_range;
,Fine,Fine,2021,DJ Cutbrawl,0,rap,2020-2024;
,Chances,Take a Chance,2020,Lil Force,0,rap,2020-2024;
",H-Town H-Town - Slowed & Chopped,H-Town H-Town (Slowed & Chopped),2024,""DJ SaucePark, Craig G, Paul Wall"",0,rap,2020-2024";
,Девушка-инферно,Девушка-инферно,2023,PETROV,0,rap,2020-2024;
,No Idea,All Out Viral Classics,2022,Don Toliver,0,rap,2020-2024;
",""Luv My City (feat. Wicked, Kang Versatile & Lil koo)"",MTP 2020 (Slowed & Chopped),2021,""Mr.Str8-8, Wicked, Kang Versatile, Lil Koo"",0,rap,2020-2024";
",WOKÓŁ HEJZA,WOKÓŁ HEJZA,2021,""RYGOR, Iwan"",0,rap,2020-2024";
,Hold up,Marcelo Classic,2022,Mr. Marcelo,0,rap,2020-2024;
,OXXID3,OXXID3,2022,|R|A|B|,0,rap,2020-2024;
,Replay,Musiche per bambini,2023,Iyaz,0,rap,2020-2024;
",Apologize,Vamos de Fiesta: 2000s,2023,""Timbaland, OneRepublic"",0,rap,2020-2024";
",Как раньше,Still on the Street,2020,""Эскимос Crew, Робси"",0,rap,2020-2024";
,Идент,Идент,2024,Kamikaz,0,rap,2020-2024;
",Olhos de Tapurim,Olhos de Tapurim,2020,""Sinistro, PinkTruence"",0,rap,2020-2024";
,04. siccit21 - overthinking,siccit21 - I HATE LIFE EP,2022,siccit21,0,rap,2020-2024;
",Branco Privilegiado,Jesus Preto - Ao Vivo,2024,""MN MC, Panquecabeats"",0,rap,2020-2024";
,Sea Santifiká (Life Arrangement),SS-EP12:27,2024,Nathan Senchi,0,rap,2020-2024;
,No Signs,No Signs,2020,itszachquietdwn,0,rap,2020-2024;
",""Donde Nací, Fue Así"",Quarantine Long Play (Vol.3),2021,Yumalesra,0,rap,2020-2024";
,Memories,Blood Money (Beat Tape),2024,Kostaki,0,rap,2020-2024;
,Sei di Cagliari se,Sei di Cagliari se,2021,Cool Caddish,0,rap,2020-2024;
",Big Flex,Big Flex,2020,""Rude Kid Venda, Nas100_zakes_sa, Dj Naija_banks"",0,rap,2020-2024";
,Murder On My Mind,Rap Essentials,2022,YNW Melly,0,rap,2020-2024;
,Tomorrow,MARMER,2020,Vinci,0,rap,2020-2024;
,No Idea,Gym Motivation,2022,Don Toliver,0,rap,2020-2024;
,Missing You - Freestyle,Og Ron C Presents F-Action 21,2022,OG Ron C,1,rap,2020-2024;
,Shawdy,Image Of Me,2022,Lil Cas,0,rap,2020-2024;
,Um Sinal,Tsunami,2021,Young Havaí,0,rap,2020-2024;
",Liga Mayor,Liga Mayor,2020,""Mango Rose, Veeto"",0,rap,2020-2024";
,Whoopty,20s Stars,2024,CJ,0,rap,2020-2024;
,YOU,HEAVEN CAN'T SAVE YOU,2023,HVN,0,rap,2020-2024;
",Pass It,BIG DUVIN IN THE CUT,2021,""Duvin, Kiro Almxghty, KiddKill, Mateo Sun"",0,rap,2020-2024";
",Wild Ones (feat. Sia),ตัวพ่อเพลง EDM,2024,""Flo Rida, Sia"",0,rap,2020-2024";
",Go,Success,2023,""G Man, Anthony Leonard Stephens Jr."",0,rap,2020-2024";
,Next to You,You're a Jerk - 00s Hip Hop,2022,Mike Jones,0,rap,2020-2024;
,Bape Hoodie,The Art of Spice Talk 2,2022,KrispyLife Kidd,0,rap,2020-2024;
",Stereo Hearts,SUMMER SUMMER SUMMER,2024,""Gym Class Heroes, Adam Levine"",0,rap,2020-2024";
",Penthouse,Hip Hop Hits Vol.10,2023,""Dave East, J. Black"",0,rap,2020-2024";
",Urgent Messages,Hip Hop Slow Jams,2023,""88GLAM, 6ixbuzz"",0,rap,2020-2024";
,LIKE SOMALIA,LIKE SOMALIA,2023,Truey 900,0,rap,2020-2024;
,Mezze verità,Aspettando Sanremo 2024,2024,Sottotono,0,rap,2020-2024;
",Somebody,Perfect Groove,2022,""A Boogie Wit da Hoodie, Don Q"",0,rap,2020-2024";
",My Heart,""The Come Up, Vol. 11"",2021,Lil Cas,0,rap,2020-2024";
,Drugs,Drugs,2022,siccit21,0,rap,2020-2024;
,MAKAI,Napoli nel cuore,2024,MV Killa,0,rap,2020-2024;
,Replay,Self Isolation Pop,2022,Iyaz,0,rap,2020-2024;
",Flying - Whiskey Autumn Remix,Never Come Down Remixed,2020,""OptycNerd, Whiskey Autumn"",0,rap,2020-2024";
,Оружие и цветы,Оружие и цветы,2023,AstroKai,0,rap,2020-2024;
",Replay,Throwback Vibes,2022,""Iyaz, Flo Rida"",0,rap,2020-2024";
",Gucci Flip Flops,Sundown Rap,2022,""Bhad Bhabie, Lil Yachty"",0,rap,2020-2024";
,BO$$ CHICK,Soundtrack to the Internet,2024,Saweetie,0,rap,2020-2024;
,Mixx Vibes,MIXX VIBES,2021,Nobrakes Mixx,0,rap,2020-2024;
,I Wanna Go,Alternative Rap,2022,Mase,0,rap,2020-2024;
,Tussen De Regels,Wereldburger,2020,Meneer Michiels,0,rap,2020-2024;
,Miss You,Miss You,2022,Last,0,rap,2020-2024;
",See You Again (feat. Charlie Puth),นอนดีกว่า อยู่ไปเค้าก็ไม่รัก,2024,""Wiz Khalifa, Charlie Puth"",0,rap,2020-2024";
,You're a Jerk,Who's That Chick? - Viral Bangers,2022,New Boyz,0,rap,2020-2024;
,NANi,Dance hits para hindi antukin,2024,Saweetie,0,rap,2020-2024;
,Pre-echo,Pre-skit (EP),2021,Ńemy,0,rap,2020-2024;
,Bienvenue Chez Dayo,Jounida,2024,Dayo Lamar,0,rap,2020-2024;
,Body,Summer Pop,2021,Megan Thee Stallion,0,rap,2020-2024;
",Adiós,Mi Pasado - El Disco Que Nunca Salió,2020,""Andy Escamilla, Daniel Muné"",0,rap,2020-2024";
,Gucci Gang,Look Back At It - 10's Rap,2022,Lil Pump,0,rap,2020-2024;
,Be Careful,Perfect Groove,2022,Cardi B,0,rap,2020-2024;
",American Jesus,Best of Maga,2021,""Forgiato Blow, J360"",0,rap,2020-2024";
,Juntos,La Vida de un Acuario,2020,Benour,0,rap,2020-2024;
,Escape,Escape,2022,Prince Rhides,0,rap,2020-2024;
",MMM MMM,Rap Now,2022,""Kaliii, ATL Jacob"",0,rap,2020-2024";
,It’s On Sight… - skit,What Was Said?,2024,Lebra Jolie,0,rap,2020-2024;
,Throwin Shade,Play While Intoxicated,2020,Atm Krown,0,rap,2020-2024;
",BABY,HOPE FOR LIVE,2021,""ROSS, Granl"",0,rap,2020-2024";
,THE RETURN,A SIGN OF VICTORY,2022,Regional Overlord Sterling Silver,0,rap,2020-2024;
,Networth,Notebook Musik,2021,Jakk Jo,0,rap,2020-2024;
,They Don't Know,They Don't Know,2020,Brisco Bands,0,rap,2020-2024;
",MTP x RLS,MTP x RLS,2024,""Mr.Str8-8, Native-V, Blaze Z"",0,rap,2020-2024";
",Momma,Hip Hop Nostalgia,2021,""Yung Joc, Jazze Pha"",0,rap,2020-2024";
,The Serpent,Cosmic Cobra,2021,Phước Phật,0,rap,2020-2024;
,Do a Bitch,Triller Tracks,2022,Kaliii,0,rap,2020-2024;
",Into Your Arms,The Best 10s,2022,""Witt Lowry, Ava Max"",0,rap,2020-2024";
",Hells Bells Ringing,Deadly Verses,2021,""LayZ PalaZuelos, Cammy G"",0,rap,2020-2024";
,Bounce,The Root of all evil,2024,Lil Cas,0,rap,2020-2024;
,Lately,Rap Ballads,2023,LB SPIFFY,0,rap,2020-2024;
,Medellin,Everythang Pt. 2,2021,Flashy B,0,rap,2020-2024;
",Gotta Go,""B Sides, Vol. 2"",2023,""CosaFina, Dan Barreri"",0,rap,2020-2024";
,Beethoven,Top Hip-Hop,2022,Kenndog,0,rap,2020-2024;
,Unforgettable,Unforgettable,2023,Twinnski,0,rap,2020-2024;
,NIGHTMARE,PUPPET MASTER,2023,JUGGER,0,rap,2020-2024;
",""Bota a Cara, Pt. 2 - Bônus"",Blockarules,2020,""Umteto, Jissô"",0,rap,2020-2024";
",Billionaire (feat. Bruno Mars),VAMOS NOS PERMITIR,2024,""Travie McCoy, Bruno Mars"",0,rap,2020-2024";
,Body,Top Viral 2022,2022,Megan Thee Stallion,0,rap,2020-2024;
,Far Away,Woke up in My Dreams;" with You,2020,""Jordan Joseph, Sh3"",0,rap,2020-2024"
",See You Again,Romantic 10s,2023,""Wiz Khalifa, Charlie Puth"",0,rap,2020-2024";
,BO$$ CHICK,Today's Hottest Rhythmic Tracks,2023,Saweetie,0,rap,2020-2024;
,Gadih Jolang Gading,Ulah Batangka,2021,Tesa,0,rap,2020-2024;
",Billionaire,Lo Mejor de Lo Mejor,2024,""Travie McCoy, Bruno Mars"",0,rap,2020-2024";
",Рипреп,""Ништяки, Часть 2"",2021,""Polumyagkiye, Цена Смеха"",0,rap,2020-2024";
,Зоря,Зоря,2023,Dika,0,rap,2020-2024;
,Let Em Out,Let Em Out,2024,Yb Puerto Rico,0,rap,2020-2024;
,Paulie Cicero,More Mobstermusic,2024,Kholebeatz,0,rap,2020-2024;
,Intro (Gwiazda),Jak nie pyknie z muzą to do zobaczenia w trumnie,2023,GIBA,0,rap,2020-2024;
,Body,No Love Left,2023,Young Mex,0,rap,2020-2024;
,Rock'n roll Band,Became a Man,2020,Jacky,0,rap,2020-2024;
,Whistle,Sommer Klassiker,2024,Flo Rida,0,rap,2020-2024;
",Rutiera,Lá Pas,2020,""Familia236, Таймет, Vudik"",0,rap,2020-2024";
",WAP (feat. Megan Thee Stallion),PINK SUMMER,2024,""Cardi B, Megan Thee Stallion"",0,rap,2020-2024";
,Notice,Notice,2021,Mike Sicara,0,rap,2020-2024;
,Itself,Some New Rap,2024,Veeze,0,rap,2020-2024;
,You’re a Jerk,summer party 2024,2024,New Boyz,0,rap,2020-2024;
,Beethoven,Twenties Rap,2023,Kenndog,0,rap,2020-2024;
",Battle Scars,pop a smoke,2024,""Lupe Fiasco, Guy Sebastian"",0,rap,2020-2024";
",Všichni Ví,Final,2020,""$TOKA, DJ Kadr"",0,rap,2020-2024";
,Live By The Gun,Live By The Gun,2021,Lil Dev,0,rap,2020-2024;
,On Fire,On Fire,2022,Last,0,rap,2020-2024;
,Won't Stay Anthem,Modern Times 2,2020,jinnwilliam,0,rap,2020-2024;
,Cupid’s Chokehold / Breakfast in America,00's - Best of The Decade,2024,Gym Class Heroes,0,rap,2020-2024;
",Mall Rasara Ghumona Dardona Day,""Ghumona Dardona, Volume, 16"",2023,Rasheed,0,rap,2020-2024";
,Bring It Out of Me,ขโมยได้ทุกอย่าง ยกเว้นความแซ่บ,2024,Ty Dolla $ign,0,rap,2020-2024;
,Turn Me Down,7 DAYS IN ATLANTA,2024,Daidough,0,rap,2020-2024;
,Sede,Sede,2022,Rov3,0,rap,2020-2024;
",Lâncome,Disciples Of Sun Tzu IV,2024,""Drisket, HOOKHONNY244"",0,rap,2020-2024";
,Messages,Pop Now,2021,Matt OX,0,rap,2020-2024;
",Recess,""Goodbye, for Now"",2020,jinnwilliam,0,rap,2020-2024";
",Dentro del Sótano Pensante,Quarentine Long Play (Vol.2),2020,""Yumalesra, Eterno Pensante"",0,rap,2020-2024";
",Trunk Beat (feat. Yung Maverik & Rell),Topic of Discussion,2022,""SoSanAntone, Yung Maverik, Rell"",0,rap,2020-2024";
",MILE HIGH CLUB,Hot Rap Right Now,2022,""Dopebwoy, SRNO"",0,rap,2020-2024";
,Ain't Nobody Better,Supersonic Rap,2021,Yo-Yo,0,rap,2020-2024;
,Land Rover,Land Rover,2023,Last,0,rap,2020-2024;
,Annuska húzd,Faktortép (Instrumental),2021,FAKT,0,rap,2020-2024;
",Replay (feat. Flo Rida),Summer Mix 2022,2022,""Iyaz, Flo Rida"",0,rap,2020-2024";
,New Old School,Its Ya Nigga,2020,SLESH,0,rap,2020-2024;
",See You Again,Sad Love Pop,2023,""Wiz Khalifa, Charlie Puth"",0,rap,2020-2024";
",Wild Ones (feat. Sia),10s Heroes,2024,""Flo Rida, Sia"",0,rap,2020-2024";
,Beethoven,Psycho Killer - Virals,2022,Kenndog,0,rap,2020-2024;
,Wow 2,Wow 2,2021,Rov3,0,rap,2020-2024;
",Battle Scars,Emergency - 10's Dance,2022,""Lupe Fiasco, Guy Sebastian"",0,rap,2020-2024";
,Memories On 47th St.,euphoria vibes.,2023,VIC MENSA,0,rap,2020-2024;
,Skit (Anton),Lost maar never Late,2023,Bird,0,rap,2020-2024;
",ON MY BACK,The Real Christian Dior,2020,""Aux Dior, A$TACK"",0,rap,2020-2024";
,Lost in The Music,Moving On,2023,Lil Cas,0,rap,2020-2024;
,Cupid's Chokehold / Breakfast in America,Top Viral 2022,2022,Gym Class Heroes,0,rap,2020-2024;
",She Ain't Coming Back,""Living Legend, Vol. 1 (Instrumentals)"",2023,Mr. Lee713,0,rap,2020-2024";
",Watch This - ARIZONATEARS Pluggnb Remix,night time views,2024,""Lil Uzi Vert, sped up nightcore, ARIZONATEARS"",0,rap,2020-2024";
,Pissu Tadawela,Pissu Tadawela,2023,Shiraz,0,rap,2020-2024;
,The Box,Dance Trap,2022,Roddy Ricch,0,rap,2020-2024;
",Replay,Breathless: 00's Pop Hits,2023,""Iyaz, Flo Rida"",0,rap,2020-2024";
,Hi Bich,Timeless Hip Hop,2022,Bhad Bhabie,0,rap,2020-2024;
,Ripleys believe it or not,Straight Outta Sherwood,2021,Bezo Luciano,0,rap,2020-2024;
,Grind with Me - Radio Version,00's - Best of The Decade,2024,Pretty Ricky,0,rap,2020-2024;
,Let It Go,90's US Hits,2021,Ray J,0,rap,2020-2024;
",Ring,Sagittarius Sounds,2023,""Cardi B, Kehlani"",0,rap,2020-2024";
",Replay,Éxitos de los 00 en Inglés,2024,""Iyaz, Flo Rida"",0,rap,2020-2024";
,Arose Out The Fire,Emotions Running High,2021,BBY KODIE,0,rap,2020-2024;
,Jesus Preto - Playback,Jesus Preto - Ao Vivo,2024,MN MC,0,rap,2020-2024;
,Aaron Judge,Vinyl Days,2022,Logic,0,rap,2020-2024;
,Area Codes,PINK SUMMER,2024,Kaliii,0,rap,2020-2024;
,Podracer,Izolim EP,2020,Neil B,0,rap,2020-2024;
,Outro,Quarentine Long Play (Vol.1),2020,Yumalesra,0,rap,2020-2024;
",Freelove,Freelove,2020,""ARCHI, LA GEO"",0,rap,2020-2024";
,Can't Hold,Can't Hold,2020,T. Chandy,0,rap,2020-2024;
,Kompos,1991,2021,Phaser,0,rap,2020-2024;
,Replay,Zähneputzen - Gute Laune im Bad,2024,Iyaz,0,rap,2020-2024;
,Adjaranan,Adjaranan,2020,Rap Soumi,0,rap,2020-2024;
",10 сумок,Pro любовь и насилие,2020,""Стриж, АМИР"",0,rap,2020-2024";
,Body,Glow Up Pop,2021,Megan Thee Stallion,0,rap,2020-2024;
,No Idea,Thinking with My Dick - Trap Hits,2022,Don Toliver,0,rap,2020-2024;
,Understand,2021 Frosh Week,2022,Zach Zoya,0,rap,2020-2024;
,Back Back,Hip Hop Hits & Playa Anthems,2022,Lil' O,0,rap,2020-2024;
",Margizzy,Chapter 20,2021,""Mene Gene, Keith Morris, 64jit"",0,rap,2020-2024";
,Ti Kal Ti Kal,Ti Kal Ti Kal,2023,P-Pain,0,rap,2020-2024;
,Epimeno,No Cure Records Presents The Ghost Infantry,2020,Buffalo Bill,0,rap,2020-2024;
,INTRO,TRAP HOLIDAYS,2021,MARKOVICH,0,rap,2020-2024;
",Baby,Feelgood Rap,2022,""Fabolous, Mike Shorey"",0,rap,2020-2024";
,Memories,Blood Money (Beat Tape),2024,Kostaki,0,rap,2020-2024;
",Battle Scars,We Love the 10s,2022,""Lupe Fiasco, Guy Sebastian"",0,rap,2020-2024";
,Replay,Zomer 2023,2023,Iyaz,0,rap,2020-2024;
,Kapitel 91 - Vonne Straße innen Wald,Vonne Straße innen Wald (Mein krasser Weg vom Gangster zum Naturschützer),2024,Max Cameo,0,rap,2020-2024;
,All I Want For Christmas,All I Want For Christmas,2023,Day1ss,0,rap,2020-2024;
,blood moon - live at studio 4,casual intimacy / blood moon live at studio 4,2023,Fantasy Camp,0,rap,2020-2024;
,Dynamite,Class of 00': Club Hits,2022,Taio Cruz,0,rap,2020-2024;
,Cupid’s Chokehold / Breakfast in America,hot girl run: pop edition,2024,Gym Class Heroes,0,rap,2020-2024;
,Cupid’s Chokehold / Breakfast in America,Love Is Gone 00s Hits,2023,Gym Class Heroes,0,rap,2020-2024;
",Into Your Arms,I Feel Good - Viral Pop,2021,""Witt Lowry, Ava Max"",0,rap,2020-2024";
,Fold,Pain Killer,2022,Lil Cas,0,rap,2020-2024;
,Tinc Ganes,Ofrena,2022,El Nota,0,rap,2020-2024;
,GO GET IT!,UNIVERSOUL,2024,Henry G,0,rap,2020-2024;
,Living Right,Russian Roulette,2020,Y&R Mookey,0,rap,2020-2024;
",BANDZ,Afrobeat - Black History Month Anthems,2023,""CHO, Emms"",0,rap,2020-2024";
,Wet (She Got That…),Rap Anthems - The 20's,2022,YFN Lucci,0,rap,2020-2024;
,Heat,Amnesia,2022,Kostaki,0,rap,2020-2024;
,Drive By,Amnesia,2022,Kostaki,0,rap,2020-2024;
,Beetje Spaans,The Best Of Donson,2022,Donson,0,rap,2020-2024;
",See You Again (feat. Charlie Puth),Primavera is Love,2024,""Wiz Khalifa, Charlie Puth"",0,rap,2020-2024";
,The Box,On the Low - Smooth Hip Hop,2022,Roddy Ricch,0,rap,2020-2024;
",Replay - (feat. Flo Rida),00's Music,2024,""Iyaz, Flo Rida"",0,rap,2020-2024";
",Watch This - ARIZONATEARS Pluggnb Remix,TikTok made me listen to it : TikTok hot trends 2023,2024,""Lil Uzi Vert, sped up nightcore, ARIZONATEARS"",0,rap,2020-2024";
,Okay Okay!,Viva,2020,Ghostluvme,0,rap,2020-2024;
",Pretty Girls,Low Key R'n'B,2021,""Iyaz, Travie McCoy"",0,rap,2020-2024";
,Chill Pussy,LOFI DICK & CHILL PUSSY,2021,FAKT,0,rap,2020-2024;
,Love and Pain,Love and Pain,2020,Code Rogue,0,rap,2020-2024;
,Memories On 47th St.,Rise & Grind,2022,VIC MENSA,0,rap,2020-2024;
",I Don't Really Care,Timeless Hip Hop,2022,""Waka Flocka Flame, Trey Songz"",0,rap,2020-2024";
,Yokoni natchao,Yokoni natchao,2022,Haruko Tajima,0,rap,2020-2024;
,Candy,Rap Beats & Rhymes,2022,Don Toliver,0,rap,2020-2024;
,Live By The Gun,Live By The Gun,2021,Lil Dev,0,rap,2020-2024;
,On Fire,On Fire,2022,Last,0,rap,2020-2024;
,Back Back,Crate Cutz: The Great Cutz,2021,Lil' O,0,rap,2020-2024;
",MMM MMM,LEO ENERGY,2024,""Kaliii, ATL Jacob"",0,rap,2020-2024";
,Ima choix,Le destin d'un jeune malien,2020,Lil Dev,0,rap,2020-2024;
,24 7 - Screwed Chopped,The Gallirock (Screwed & Chopped) [Screwed Chopped],2020,Rob G,0,rap,2020-2024;
",Liga Mayor,Liga Mayor,2020,""Mango Rose, Veeto"",0,rap,2020-2024";
",Chocolate Fe's And Redbones [Chopped & Screwed Version] - Remix,Ultimate Gym Rap,2022,""Twista, Johnny P"",0,rap,2020-2024";
,Vou Ter Que Ser,Love and Hate,2021,Thimbada,0,rap,2020-2024;
,Annuska húzd,Faktortép (Instrumental),2021,FAKT,0,rap,2020-2024;
,SIN TI - REMIX,SIN TI (REMIX),2021,|R|A|B|,0,rap,2020-2024;
,Wet (She Got That…),Cry Baby - Trending Hip Hop,2021,YFN Lucci,0,rap,2020-2024;
,Man Of The Year,Life After Dollah,2021,Bezo Luciano,0,rap,2020-2024;
",Drank in My Cup - Mike. D Radio Remix,Power Dance,2023,""Kirko Bangz, Mike D"",0,rap,2020-2024";
,Millionnaire,Millionnaire,2020,Gucci Loup,0,rap,2020-2024;
,Cupid's Chokehold / Breakfast in America,Who's That Chick? - Viral Bangers,2022,Gym Class Heroes,0,rap,2020-2024;
",Watch This - ARIZONATEARS Pluggnb Remix,Summer Hits Best of July,2024,""Lil Uzi Vert, sped up nightcore, ARIZONATEARS"",0,rap,2020-2024";
,No More Flowers,Lowrider Voodoo,2024,Junebug Slim,0,rap,2020-2024;
",Entrelinhas,""Soares Nu Beat, Vol. 2 (Donas de Si)"",2020,""Foco Do Problema, Soares by Foco do Problema, Raquel Boaventura"",0,rap,2020-2024";
,Skit (Anton),Lost maar never Late,2023,Bird,0,rap,2020-2024;
",Shenaniganz,Sign In,2020,""Saby, Huzur"",0,rap,2020-2024";
,Novel Walk,M-Squad Beats 4.,2024,M-Squad,0,rap,2020-2024;
,Small Worlds,lonely people lonely music,2024,Mac Miller,0,rap,2020-2024;
,DONTTRUSTME,Pop Culture: 2000s,2024,3OH!3,0,rap,2020-2024;
,Beethoven,Pop Out - Rap Now!,2022,Kenndog,0,rap,2020-2024;
,Area Codes,Summer Party '24,2024,Kaliii,0,rap,2020-2024;
,NANi,GRWM: back to school,2024,Saweetie,0,rap,2020-2024;
",Pokipow,Pokipow,2021,""Tout Atis, Woudley dr"",0,rap,2020-2024";
,Outono,Outono,2022,Last,0,rap,2020-2024;
",Fifty (feat. Curt McGurt),Amapola,2022,""Lil Cas, Curt McGurt"",0,rap,2020-2024";
,ICY GRL,graduATE down,2024,Saweetie,0,rap,2020-2024;
",Stereo Hearts,90's baby,2023,""Gym Class Heroes, Adam Levine"",0,rap,2020-2024";
,RapBeef,UnderRated,2021,Suckafreejuice,0,rap,2020-2024;
,DONTTRUSTME,Best 00s,2024,3OH!3,0,rap,2020-2024;
",Dis leur,Corps & âme,2020,""YUNG XAV, Smally King"",0,rap,2020-2024";
,Baecation,Ima B Here for a While,2020,Soulja K,0,rap,2020-2024;
",Correct,Correct,2022,""SunshineGzuz, Suscex, Scotty"",0,rap,2020-2024";
,No Peasants,RISE OF THE GODDESS,2024,Ladyy Acee,0,rap,2020-2024;
,Rebound,Who I Am,2024,Lil Cas,0,rap,2020-2024;
,24hrs,Doeboi909 Trap Babies,2020,Doeboi909,0,rap,2020-2024;
,Tamo Bien,Tamo Bien,2022,Candelario,0,rap,2020-2024;
,Cupid’s Chokehold / Breakfast in America,throwbacks classic hits,2023,Gym Class Heroes,0,rap,2020-2024;
,Espelho,O Último Romântico,2023,Rov3,0,rap,2020-2024;
",Day By Day,""The Come Up, Vol. 7"",2020,Lil Cas,0,rap,2020-2024";
",No Panties,Party U.S.A.,2023,""Trina, Tweet"",0,rap,2020-2024";
,XO Tour Llif3,10s Stars,2024,Lil Uzi Vert,0,rap,2020-2024;
",The Realness,Coalition Hip Hop Presents : Shear Brilliance,2024,""Fireman, Infinite Styles, ShiekAbdul"",0,rap,2020-2024";
